NHL,Anaheim Ducks,2022-2023 Preseason, 4
NHL,Anaheim Ducks,2021-2022 Regular Season, 36
NHL,Anaheim Ducks,2021-2022 Preseason, 5
NHL,Anaheim Ducks,2020-2021 Regular Season, 20
NHL,Anaheim Ducks,2019-2020 Preseason, 2
NHL,Anaheim Ducks,2019-2020 Regular Season, 25
NHL,Anaheim Ducks,2018-2019 Regular Season, 11
NHL,Anaheim Ducks,2018-2019 Preseason, 2
NHL,Anaheim Ducks,2017-2018 Regular Season, 30
NHL,Winnipeg Jets,2022-2023 Regular Season, 7
NHL,Winnipeg Jets,2022-2023 Preseason, 1
NHL,Winnipeg Jets,2021-2022 Regular Season, 24
NHL,Winnipeg Jets,2021-2022 Preseason, 2
NHL,Winnipeg Jets,2020-2021 Regular Season, 8
NHL,Winnipeg Jets,2019-2020 Postseason, 2
NHL,Winnipeg Jets,2019-2020 Preseason, 1
NHL,Winnipeg Jets,2019-2020 Regular Season, 15
NHL,Winnipeg Jets,2018-2019 Regular Season, 18
NHL,Winnipeg Jets,2018-2019 Preseason, 1
NHL,Vegas Golden Knights,2022-2023 Regular Season, 8
NHL,Vegas Golden Knights,2022-2023 Preseason, 1
NHL,Vegas Golden Knights,2021-2022 Regular Season, 18
NHL,Vegas Golden Knights,2021-2022 Preseason, 1
NHL,Vegas Golden Knights,2020-2021 Postseason, 1
NHL,Vegas Golden Knights,2020-2021 Regular Season, 11
NHL,Vegas Golden Knights,2019-2020 Preseason, 3
NHL,Vegas Golden Knights,2019-2020 Regular Season, 10
NHL,Vegas Golden Knights,2018-2019 Postseason, 1
NHL,Vegas Golden Knights,2018-2019 Regular Season, 6
NHL,Vancouver Canucks,2022-2023 Regular Season, 21
NHL,Vancouver Canucks,2022-2023 Preseason, 3
NHL,Vancouver Canucks,2021-2022 Regular Season, 17
NHL,Vancouver Canucks,2021-2022 Preseason, 2
NHL,Vancouver Canucks,2020-2021 Postseason, 1
NHL,Vancouver Canucks,2020-2021 Regular Season, 17
NHL,Vancouver Canucks,2019-2020 Postseason, 3
NHL,Vancouver Canucks,2019-2020 Preseason, 1
NHL,Vancouver Canucks,2019-2020 Regular Season, 13
NHL,Vancouver Canucks,2018-2019 Regular Season, 13
NHL,Toronto Maple Leafs,2022-2023 Regular Season, 5
NHL,Toronto Maple Leafs,2022-2023 Preseason, 1
NHL,Toronto Maple Leafs,2021-2022 Postseason, 1
NHL,Toronto Maple Leafs,2021-2022 Regular Season, 12
NHL,Toronto Maple Leafs,2021-2022 Preseason, 5
NHL,Toronto Maple Leafs,2020-2021 Postseason, 1
NHL,Toronto Maple Leafs,2020-2021 Regular Season, 8
NHL,Toronto Maple Leafs,2019-2020 Postseason, 1
NHL,Toronto Maple Leafs,2019-2020 Preseason, 2
NHL,Toronto Maple Leafs,2019-2020 Regular Season, 8
